value,years,place,lat,lon
1,3,Alabama A & M University,34.783368,-86.568502
2,3,University of Alabama at Birmingham,33.50223,-86.80917
3,3,Amridge University,32.362609,-86.17401
4,3,University of Alabama in Huntsville,34.722818,-86.63842
5,3,Alabama State University,32.364317,-86.295677
6,3,The University of Alabama,33.2144,-87.545766
7,3,Athens State University,34.805625,-86.96514
8,3,Auburn University at Montgomery,32.369939,-86.177351
9,3,Auburn University,32.600201,-85.492409
10,3,Birmingham Southern College,33.515453,-86.853636
11,3,Concordia College Alabama,32.42443,-87.023531
12,3,Faulkner University,32.384181,-86.21641
13,3,Huntingdon College,32.350939,-86.285313
14,3,Jacksonville State University,33.822128,-85.766644
15,3,Judson College,32.630526,-87.316127
16,3,University of West Alabama,32.59244,-88.186077
17,3,Miles College,33.481306,-86.908605
18,3,University of Mobile,30.793247,-88.128934
19,3,University of Montevallo,33.10625,-86.865099
20,3,University of North Alabama,34.80658,-87.680999
21,3,Oakwood University,34.756628,-86.661628
22,3,Samford University,33.464578,-86.790932
23,3,University of South Alabama,30.695081,-88.18189
24,3,Spring Hill College,30.694751,-88.138199
25,3,Stillman College,33.199228,-87.585242
26,3,Talladega College,33.434258,-86.113675
27,3,Troy University,31.800128,-85.950191
28,3,Tuskegee University,32.431021,-85.710315
29,3,University of Alaska Anchorage,61.189554,-149.826135
30,3,University of Alaska Fairbanks,64.857053,-147.824751
31,3,University of Alaska Southeast,58.38427,-134.636346
32,3,Alaska Pacific University,61.191235,-149.804242
33,3,American Indian College of the Assemblies of God Inc,33.577738,-112.092247
34,3,Arizona State University-Tempe,33.421922,-111.940011
35,3,University of Arizona,32.232071,-110.950769
36,3,Embry-Riddle Aeronautical University-Prescott,34.615678,-112.452285
37,3,Northern Arizona University,35.180095,-111.657653
38,3,Ottawa University-Phoenix,33.577907,-112.113447
39,3,Prescott College,34.5445,-112.476509
40,3,Arizona Christian University,33.595117,-112.026211
41,3,University of Arkansas at Little Rock,34.726644,-92.341835
